csv;structure_a;structure_b;sequence_id;tm_score
csv;101mA;101mA;1.000000;1.000000
csv;102lA;102lA;1.000000;1.000000
csv;103mA;103mA;1.000000;1.000000
csv;103mA;102mA;1.000000;0.997479
csv;104lB;104lB;1.000000;1.000000
csv;103lA;103lA;1.000000;1.000000
csv;104mA;104mA;1.000000;1.000000
csv;3vkhA;3vkhA;1.000000;1.000000
csv;102mA;103mA;1.000000;0.997479
csv;102mA;102mA;1.000000;1.000000
csv;3vkhC;3vkhC;1.000000;1.000000
csv;104lA;104lA;1.000000;1.000000
